mano_f1,probabilidad_grande,probabilidad_chica,probabilidad_pares,probabilidad_juego,prob_rival_pares_condicionada,prob_rival_juego_condicionada,mano_norm,mano_f2,prob_grande,prob_chica,prob_pares,prob_juego,n_apariciones,mejora_pares,mejora_juego,mejora_grande,mejora_chica
"[1, 1, 1, 1]",0.0,1.0,0.9373,0.0,0.7841,0.6272,"[1, 1, 1, 1]","[1, 1, 1, 1]",0.0,1.0,0.948051948051948,0.2727272727272727,77,0.010751948051948013,0.2727272727272727,0.0,0.0
"[1, 1, 1, 12]",0.1437,0.9896,0.8817,0.0001,0.7764,0.5458,"[1, 1, 1, 12]","[1, 1, 1, 12]",0.0229132569558101,0.1898527004909983,0.88379705400982,0.3027823240589198,611,0.0020970540098199653,0.3026823240589198,-0.12078674304418989,-0.7997472995090017
"[1, 1, 1, 4]",0.0,0.9987,0.8575,0.0,0.803,0.6182,"[1, 1, 1, 4]","[1, 1, 1, 4]",0.0,0.9966101694915256,0.8610169491525423,0.3084745762711864,295,0.0035169491525423036,0.3084745762711864,0.0,-0.002089830508474444
"[1, 1, 1, 5]",0.0,0.9982,0.8573,0.0,0.7977,0.6092,"[1, 1, 1, 5]","[1, 1, 1, 5]",0.0,0.9965753424657534,0.8458904109589042,0.3253424657534247,292,-0.011409589041095791,0.3253424657534247,0.0,-0.0016246575342465652
"[1, 1, 1, 6]",0.0,0.9948,0.8601,0.0,0.7951,0.6042,"[1, 1, 1, 6]","[1, 1, 1, 6]",0.0,0.9703947368421052,0.868421052631579,0.3815789473684211,304,0.008321052631579007,0.3815789473684211,0.0,-0.02440526315789482
"[1, 1, 1, 7]",0.0008,0.9936,0.859,0.0,0.7979,0.5952,"[1, 1, 1, 7]","[1, 1, 1, 7]",0.0,0.8385964912280702,0.8350877192982457,0.3228070175438596,285,-0.02391228070175433,0.3228070175438596,-0.0008,-0.1550035087719298
"[1, 1, 1, 10]",0.0064,0.9945,0.8565,0.0001,0.7944,0.5633,"[1, 1, 1, 10]","[1, 1, 1, 10]",0.0,0.7579617834394905,0.8535031847133758,0.3598726114649681,314,-0.0029968152866242104,0.3597726114649681,-0.0064,-0.23653821656050955
"[1, 1, 1, 11]",0.0353,0.9918,0.8643,0.0001,0.792,0.5581,"[1, 1, 1, 11]","[1, 1, 1, 11]",0.003875968992248,0.5,0.8410852713178295,0.3255813953488372,258,-0.02321472868217045,0.3254813953488372,-0.031424031007752,-0.4918
"[1, 1, 12, 12]",0.7665,0.766,0.981,0.0721,0.781,0.4863,"[1, 1, 12, 12]","[1, 1, 12, 12]",0.6259780907668232,0.0,0.9694835680751174,0.3458528951486698,1278,-0.011516431924882609,0.2737528951486698,-0.14052190923317676,-0.766
"[1, 1, 4, 4]",0.0,0.9767,0.9253,0.0,0.8096,0.609,"[1, 1, 4, 4]","[1, 1, 4, 4]",0.0,0.99609375,0.90625,0.3515625,256,-0.01905000000000001,0.3515625,0.0,0.019393749999999987
"[1, 1, 4, 5]",0.0,0.976,0.2801,0.0,0.8097,0.5977,"[1, 1, 4, 5]","[1, 1, 4, 5]",0.0,0.994991652754591,0.4056761268781302,0.3088480801335559,599,0.1255761268781302,0.3088480801335559,0.0,0.018991652754591026
"[1, 1, 4, 6]",0.0001,0.9675,0.2855,0.0001,0.8083,0.589,"[1, 1, 4, 6]","[1, 1, 4, 6]",0.0,0.9660493827160492,0.3996913580246913,0.3503086419753086,648,0.11419135802469133,0.3502086419753086,-0.0001,-0.0014506172839507947
"[1, 1, 4, 7]",0.0008,0.9621,0.2858,0.0001,0.8074,0.5733,"[1, 1, 4, 7]","[1, 1, 4, 7]",0.0,0.8847305389221557,0.437125748502994,0.3383233532934132,668,0.15132574850299402,0.3382233532934132,-0.0008,-0.07736946107784426
"[1, 1, 4, 10]",0.0081,0.9561,0.2862,0.0016,0.8042,0.5477,"[1, 1, 4, 10]","[1, 1, 4, 10]",0.0,0.7647907647907648,0.4126984126984127,0.3434343434343434,693,0.12649841269841267,0.34183434343434344,-0.0081,-0.19130923520923515
"[1, 1, 4, 11]",0.0386,0.95,0.2909,0.0014,0.8034,0.544,"[1, 1, 4, 11]","[1, 1, 4, 11]",0.0047169811320754,0.5204402515723271,0.3930817610062893,0.3443396226415094,636,0.10218176100628928,0.3429396226415094,-0.0338830188679246,-0.42955974842767286
