mano,mano_legible,posicion,posicion_nombre,rank,mascara_idx,accion,reward_promedio,n_visitas,confianza,prob_seleccion_pct
"[1, 1, 1, 10]",Sota-As-As-As,1,MANO (J1),1,0,"Mantener [As,As,As] / Descartar [Sota]",0.9468485097074104,29256,ALTA,65.54037691079469
"[1, 1, 1, 10]",Sota-As-As-As,1,MANO (J1),2,13,"Mantener [Sota] / Descartar [As,As,As]",-0.0794366967459666,29256,ALTA,8.415674519205233
"[1, 1, 1, 10]",Sota-As-As-As,1,MANO (J1),3,14,"Mantener [Nada] / Descartar [Sota,As,As,As]",-0.4579915231063713,29256,ALTA,3.9471205108431127
"[1, 1, 1, 10]",Sota-As-As-As,2,POSTRE (J2),1,0,"Mantener [As,As,As] / Descartar [Sota]",0.6766526452583701,29241,ALTA,72.4763483262508
"[1, 1, 1, 10]",Sota-As-As-As,2,POSTRE (J2),2,13,"Mantener [Sota] / Descartar [As,As,As]",-0.5845559317396806,29241,ALTA,5.8173400701812525
"[1, 1, 1, 10]",Sota-As-As-As,2,POSTRE (J2),3,4,"Mantener [As,As] / Descartar [Sota,As]",-0.8424130501692828,29241,ALTA,3.4733824471032535
"[1, 1, 1, 10]",Sota-As-As-As,3,MANO (J3),1,0,"Mantener [As,As,As] / Descartar [Sota]",1.1952204875376609,29208,ALTA,62.81820583881653
"[1, 1, 1, 10]",Sota-As-As-As,3,MANO (J3),2,13,"Mantener [Sota] / Descartar [As,As,As]",0.0600178033415502,29208,ALTA,6.487255532695448
"[1, 1, 1, 10]",Sota-As-As-As,3,MANO (J3),3,4,"Mantener [As,As] / Descartar [Sota,As]",-0.1120583401807723,29208,ALTA,4.598302795510813
"[1, 1, 1, 10]",Sota-As-As-As,4,POSTRE (J4),1,0,"Mantener [As,As,As] / Descartar [Sota]",0.935813249905456,29087,ALTA,73.0102285401868
"[1, 1, 1, 10]",Sota-As-As-As,4,POSTRE (J4),2,13,"Mantener [Sota] / Descartar [As,As,As]",-0.4677691064736824,29087,ALTA,4.408060670863959
"[1, 1, 1, 10]",Sota-As-As-As,4,POSTRE (J4),3,6,"Mantener [As,As] / Descartar [Sota,As]",-0.5952831161687352,29087,ALTA,3.415783228362226
"[1, 1, 1, 11]",Caballo-As-As-As,1,MANO (J1),1,0,"Mantener [As,As,As] / Descartar [Caballo]",0.9237048773766878,29032,ALTA,66.4509159840442
"[1, 1, 1, 11]",Caballo-As-As-As,1,MANO (J1),2,13,"Mantener [Caballo] / Descartar [As,As,As]",-0.1278244695508404,29032,ALTA,8.112490214217335
"[1, 1, 1, 11]",Caballo-As-As-As,1,MANO (J1),3,14,"Mantener [Nada] / Descartar [Caballo,As,As,As]",-0.4962455221824194,29032,ALTA,3.882824180796983
"[1, 1, 1, 11]",Caballo-As-As-As,2,POSTRE (J2),1,0,"Mantener [As,As,As] / Descartar [Caballo]",0.7084614858861322,29262,ALTA,75.17471313372873
"[1, 1, 1, 11]",Caballo-As-As-As,2,POSTRE (J2),2,13,"Mantener [Caballo] / Descartar [As,As,As]",-0.6588749914564965,29262,ALTA,4.879984083112148
"[1, 1, 1, 11]",Caballo-As-As-As,2,POSTRE (J2),3,4,"Mantener [As,As] / Descartar [Caballo,As]",-0.8179550269974711,29262,ALTA,3.5501217089838644
