mano,posicion,mascara_idx,reward_promedio,n_visitas,n_descarte_j1,n_descarte_j2,n_descarte_j3,n_descarte_j4
"[1, 1, 1, 10]",1,0,0.955114180226993,29252,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",1,13,-0.19297825789689593,29252,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",1,14,-0.4645836182141392,29252,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",1,4,-0.5330917544099548,29252,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",1,6,-0.5500478599753863,29252,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",1,5,-0.5611582114043484,29252,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",1,7,-0.6470326815260495,29252,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",1,8,-0.6709626692191987,29252,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",1,9,-0.678517708190893,29252,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",1,2,-0.8313277724600028,29252,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",1,1,-0.8419595241351019,29252,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",1,3,-0.8450020511418023,29252,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",1,11,-0.9605838916997128,29252,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",1,10,-0.9736086421441269,29252,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",1,12,-0.9909066046766033,29252,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",2,0,0.621903520208605,29146,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",2,13,-0.8059768064228368,29146,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",2,5,-0.9561517875523228,29146,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",2,4,-0.9573526384409524,29146,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",2,6,-1.0099499073629314,29146,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",2,14,-1.120256638989913,29146,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",2,3,-1.271255060728745,29146,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",2,8,-1.277808275578124,29146,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",2,1,-1.278871886365196,29146,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",2,2,-1.2825430590818636,29146,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",2,9,-1.2910176353530503,29146,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",2,7,-1.2965415494407466,29146,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",2,10,-1.4965346874356686,29146,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",2,11,-1.5071364852809992,29146,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",2,12,-1.5362313868112263,29146,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",3,0,1.194482381862879,29288,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",3,13,0.025198033324228354,29288,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",3,5,-0.06736547391423109,29288,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",3,6,-0.08044250204862059,29288,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",3,4,-0.1022944550669216,29288,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",3,14,-0.2419079486479104,29288,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",3,3,-0.32579896203223163,29288,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",3,1,-0.33337885823545477,29288,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",3,2,-0.34386096694892104,29288,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",3,7,-0.37517071838295546,29288,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",3,9,-0.3768779022125102,29288,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",3,8,-0.39575935536738593,29288,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",3,10,-0.5876126741327506,29288,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",3,12,-0.6377355913684786,29288,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",3,11,-0.6498565965583174,29288,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",4,0,0.8428327061238453,29230,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",4,4,-0.5968525487512829,29230,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",4,5,-0.6024974341430037,29230,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",4,6,-0.6279507355456723,29230,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",4,13,-0.7247348614437222,29230,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",4,3,-0.8748203900102635,29230,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",4,1,-0.8842969551830311,29230,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",4,2,-0.8955867259664728,29230,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",4,14,-0.9360588436537803,29230,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",4,8,-1.0959972630858708,29230,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",4,9,-1.1290112897707834,29230,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",4,7,-1.131508723913787,29230,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",4,11,-1.2586383852206637,29230,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",4,10,-1.260691070817653,29230,0.0,0.0,0.0,0.0
"[1, 1, 1, 10]",4,12,-1.290147109134451,29230,0.0,0.0,0.0,0.0
"[1, 1, 1, 11]",1,0,0.8878837162024802,29514,0.0,0.0,0.0,0.0
"[1, 1, 1, 11]",1,13,-0.19075692891509113,29514,0.0,0.0,0.0,0.0
"[1, 1, 1, 11]",1,14,-0.43992681439316933,29514,0.0,0.0,0.0,0.0
"[1, 1, 1, 11]",1,4,-0.5043030426238395,29514,0.0,0.0,0.0,0.0
"[1, 1, 1, 11]",1,5,-0.5394389103476316,29514,0.0,0.0,0.0,0.0
"[1, 1, 1, 11]",1,6,-0.5892796638883242,29514,0.0,0.0,0.0,0.0
"[1, 1, 1, 11]",1,8,-0.7456800162634681,29514,0.0,0.0,0.0,0.0
"[1, 1, 1, 11]",1,7,-0.7567933861896049,29514,0.0,0.0,0.0,0.0
"[1, 1, 1, 11]",1,9,-0.764078064647286,29514,0.0,0.0,0.0,0.0
"[1, 1, 1, 11]",1,1,-0.9230873483770414,29514,0.0,0.0,0.0,0.0
"[1, 1, 1, 11]",1,10,-0.9748255065392695,29514,0.0,0.0,0.0,0.0
"[1, 1, 1, 11]",1,11,-0.9836348851392559,29514,0.0,0.0,0.0,0.0
"[1, 1, 1, 11]",1,12,-0.9838042962661787,29514,0.0,0.0,0.0,0.0
"[1, 1, 1, 11]",1,2,-0.9842447651961781,29514,0.0,0.0,0.0,0.0
"[1, 1, 1, 11]",1,3,-1.00155858236769,29514,0.0,0.0,0.0,0.0
"[1, 1, 1, 11]",2,0,0.6646033219849375,29079,0.0,0.0,0.0,0.0
"[1, 1, 1, 11]",2,13,-0.8744454761167854,29079,0.0,0.0,0.0,0.0
"[1, 1, 1, 11]",2,6,-0.8973142130059493,29079,0.0,0.0,0.0,0.0
"[1, 1, 1, 11]",2,5,-0.9302933388355858,29079,0.0,0.0,0.0,0.0
"[1, 1, 1, 11]",2,4,-0.95199284707177,29079,0.0,0.0,0.0,0.0
"[1, 1, 1, 11]",2,14,-1.1253825784930707,29079,0.0,0.0,0.0,0.0
