mano,probabilidad_grande,probabilidad_chica,probabilidad_pares,probabilidad_juego,prob_rival_pares_condicionada,prob_rival_juego_condicionada
"[1, 1, 1, 1]",0.0,1.0,0.9528,0.0,0.7007,0.3519
"[1, 1, 1, 2]",0.0,1.0,0.9205,0.0,0.6766,0.3511
"[1, 1, 1, 4]",0.0,1.0,0.9215,0.0,0.6638,0.3337
"[1, 1, 1, 5]",0.0,1.0,0.9306,0.0,0.6685,0.3338
"[1, 1, 1, 6]",0.001,1.0,0.926,0.0,0.6672,0.3248
"[1, 1, 1, 7]",0.0058,1.0,0.9286,0.0,0.6697,0.3083
"[1, 1, 1, 10]",0.0351,1.0,0.9296,0.0003,0.6763,0.2788
"[1, 1, 1, 11]",0.1374,1.0,0.9248,0.0002,0.6736,0.2837
"[1, 1, 1, 3]",0.0,1.0,0.9303,0.0,0.6736,0.3411
"[1, 1, 1, 12]",0.4536,1.0,0.928,0.0005,0.668,0.2856
"[1, 1, 2, 2]",0.0,1.0,0.963,0.0,0.666,0.3511
"[1, 1, 2, 4]",0.0,0.999,0.3475,0.0,0.6617,0.3475
"[1, 1, 2, 5]",0.0,0.9991,0.3489,0.0,0.6603,0.3341
"[1, 1, 2, 6]",0.0005,0.9972,0.3619,0.0,0.6504,0.3107
"[1, 1, 2, 7]",0.0066,0.9985,0.3575,0.0,0.6511,0.305
"[1, 1, 2, 10]",0.036,0.9975,0.3546,0.0009,0.6561,0.2905
"[1, 1, 2, 11]",0.1424,0.9973,0.3531,0.0011,0.6564,0.2798
"[1, 1, 2, 3]",0.0,0.9996,0.3474,0.0,0.6614,0.3507
"[1, 1, 2, 12]",0.4515,0.9969,0.358,0.0006,0.6511,0.2749
"[1, 1, 4, 4]",0.0,0.9916,0.9622,0.0,0.6674,0.3277
"[1, 1, 4, 5]",0.0001,0.9917,0.3538,0.0,0.6547,0.3219
"[1, 1, 4, 6]",0.0014,0.9912,0.3515,0.0002,0.6572,0.3116
"[1, 1, 4, 7]",0.0072,0.9903,0.3657,0.0005,0.6439,0.3059
"[1, 1, 4, 10]",0.0382,0.9909,0.359,0.0082,0.6515,0.264
"[1, 1, 4, 11]",0.1419,0.9898,0.3493,0.0065,0.6618,0.2668
"[1, 1, 4, 3]",0.0,0.9958,0.3522,0.0,0.6567,0.3318
"[1, 1, 4, 12]",0.4715,0.9877,0.3521,0.0076,0.6592,0.2739
"[1, 1, 5, 5]",0.0005,0.99,0.9691,0.0003,0.6607,0.3105
"[1, 1, 5, 6]",0.0019,0.9895,0.3488,0.0006,0.66,0.3065
"[1, 1, 5, 7]",0.0101,0.9868,0.3546,0.0022,0.6544,0.299
"[1, 1, 5, 10]",0.0407,0.9865,0.3545,0.0126,0.6549,0.2747
"[1, 1, 5, 11]",0.1578,0.9868,0.3587,0.0158,0.6515,0.2537
"[1, 1, 5, 3]",0.0,0.9947,0.3488,0.0,0.6621,0.3333
"[1, 1, 5, 12]",0.4722,0.9867,0.346,0.0143,0.6637,0.2677
"[1, 1, 6, 6]",0.0037,0.9861,0.9724,0.0015,0.6642,0.3011
"[1, 1, 6, 7]",0.0152,0.985,0.3514,0.0033,0.6586,0.2948
"[1, 1, 6, 10]",0.0566,0.9869,0.3522,0.0298,0.6564,0.2651
"[1, 1, 6, 11]",0.1778,0.9827,0.3603,0.0278,0.6506,0.2611
"[1, 1, 6, 3]",0.0011,0.9956,0.3501,0.0,0.6609,0.3225
"[1, 1, 6, 12]",0.5311,0.9845,0.3433,0.0312,0.6659,0.2581
"[1, 1, 7, 7]",0.0232,0.9816,0.9752,0.0091,0.6649,0.2838
"[1, 1, 7, 10]",0.0733,0.9838,0.3602,0.0512,0.6504,0.2469
"[1, 1, 7, 11]",0.2063,0.9839,0.3664,0.0544,0.6428,0.2561
"[1, 1, 7, 3]",0.0067,0.9943,0.3571,0.0002,0.6525,0.3151
"[1, 1, 7, 12]",0.5791,0.9828,0.3459,0.0505,0.6628,0.2481
"[1, 1, 10, 10]",0.1021,0.986,0.9825,0.1906,0.6662,0.226
"[1, 1, 10, 11]",0.2657,0.979,0.3518,0.1863,0.6589,0.2185
"[1, 1, 10, 3]",0.0384,0.9944,0.3472,0.0029,0.6611,0.2814
"[1, 1, 10, 12]",0.6767,0.9804,0.3498,0.1847,0.6599,0.2167
"[1, 1, 11, 11]",0.3385,0.9801,0.9884,0.1798,0.67,0.2241
"[1, 1, 11, 3]",0.1395,0.9933,0.3577,0.0033,0.6532,0.2845
"[1, 1, 11, 12]",0.802,0.9812,0.3492,0.1802,0.6582,0.2243
"[1, 1, 3, 3]",0.0,0.9941,0.9665,0.0,0.6685,0.3391
"[1, 1, 3, 12]",0.4566,0.9947,0.3522,0.0023,0.6561,0.2741
"[1, 1, 12, 12]",0.9803,0.9826,0.9988,0.1837,0.6681,0.227
"[1, 2, 2, 2]",0.0,0.9442,0.9213,0.0,0.6661,0.3392
"[1, 2, 2, 4]",0.0,0.9444,0.3834,0.0,0.6535,0.3311
"[1, 2, 2, 5]",0.0001,0.9447,0.3815,0.0,0.6568,0.3266
"[1, 2, 2, 6]",0.0009,0.9462,0.3798,0.0,0.6559,0.3249
"[1, 2, 2, 7]",0.0073,0.943,0.3806,0.0002,0.6571,0.3154
"[1, 2, 2, 10]",0.0349,0.9414,0.377,0.0041,0.6614,0.2815
"[1, 2, 2, 11]",0.1359,0.9411,0.3827,0.0028,0.6534,0.2807
"[1, 2, 2, 3]",0.0,0.9435,0.3882,0.0,0.6522,0.3403
"[1, 2, 2, 12]",0.4549,0.9408,0.3924,0.0039,0.6462,0.2693
"[1, 2, 4, 4]",0.0,0.901,0.4678,0.0001,0.6561,0.3316
"[1, 2, 4, 5]",0.0,0.8989,0.3425,0.0,0.6575,0.3247
"[1, 2, 4, 6]",0.0012,0.8942,0.3468,0.0003,0.6532,0.3109
"[1, 2, 4, 7]",0.0081,0.8921,0.3536,0.0012,0.6464,0.303
"[1, 2, 4, 10]",0.0384,0.8921,0.35,0.0148,0.65,0.2733
"[1, 2, 4, 11]",0.1527,0.8837,0.3493,0.0171,0.6507,0.2741
"[1, 2, 4, 3]",0.0,0.9334,0.3437,0.0,0.6563,0.3344
"[1, 2, 4, 12]",0.4733,0.8812,0.3505,0.0138,0.6495,0.2714
"[1, 2, 5, 5]",0.0006,0.8719,0.5365,0.0005,0.6624,0.3229
"[1, 2, 5, 6]",0.0026,0.8661,0.3534,0.0019,0.6466,0.3088
"[1, 2, 5, 7]",0.0103,0.863,0.3442,0.0055,0.6558,0.297
"[1, 2, 5, 10]",0.0438,0.8645,0.3487,0.0286,0.6513,0.2617
"[1, 2, 5, 11]",0.1505,0.8698,0.3512,0.0272,0.6488,0.2672
"[1, 2, 5, 3]",0.0002,0.9259,0.3494,0.0,0.6506,0.3364
"[1, 2, 5, 12]",0.4881,0.857,0.3552,0.0288,0.6448,0.2632
"[1, 2, 6, 6]",0.0035,0.8517,0.6081,0.0037,0.6459,0.3059
"[1, 2, 6, 7]",0.0151,0.8416,0.3431,0.0094,0.6569,0.2933
"[1, 2, 6, 10]",0.0531,0.845,0.362,0.0512,0.638,0.2545
"[1, 2, 6, 11]",0.1799,0.8429,0.3541,0.05,0.6459,0.2566
"[1, 2, 6, 3]",0.0012,0.9263,0.3471,0.0002,0.6529,0.3227
"[1, 2, 6, 12]",0.5291,0.8459,0.3502,0.051,0.6498,0.2662
"[1, 2, 7, 7]",0.0227,0.8351,0.6767,0.0173,0.663,0.2834
"[1, 2, 7, 10]",0.0776,0.829,0.36,0.0855,0.64,0.2523
"[1, 2, 7, 11]",0.2155,0.8405,0.3516,0.083,0.6484,0.2537
"[1, 2, 7, 3]",0.0067,0.92,0.3569,0.0005,0.6431,0.3112
"[1, 2, 7, 12]",0.5799,0.8222,0.3533,0.0817,0.6467,0.2539
"[1, 2, 10, 10]",0.1025,0.8154,0.7621,0.2533,0.6572,0.2153
"[1, 2, 10, 11]",0.2627,0.8151,0.3518,0.2528,0.6482,0.2231
"[1, 2, 10, 3]",0.0374,0.9153,0.3476,0.008,0.6524,0.277
"[1, 2, 10, 12]",0.6757,0.8153,0.351,0.2582,0.649,0.2251
"[1, 2, 11, 11]",0.3414,0.8065,0.8468,0.2594,0.6621,0.2235
"[1, 2, 11, 3]",0.1365,0.9169,0.3528,0.0072,0.6472,0.2801
