mano,mano_str,prob_grande,prob_chica,tiene_pares,tiene_juego,tipo_pares,valor_juego,W_pares,W_juego,EV_pos1,EV_pos2,EV_pos3,EV_pos4,diff_pos1_pos4,diff_pos1_pos2
"[6, 6, 12, 12]","[6,6,12,12]",0.8442,0.0045,True,True,duples,32,3,2.857,7.165722635352699,7.099588632925514,7.099588632925514,7.03345463049833,0.13226800485436918,0.06613400242718548
"[12, 12, 12, 12]","[12,12,12,12]",1.0,0.0,True,True,duples,40,3,2.714,6.712247289276257,6.6499043378199465,6.6499043378199465,6.587561386363635,0.1246859029126215,0.0623429514563103
"[1, 12, 12, 12]","[1,12,12,12]",0.9915,0.142,True,True,medias,31,2,3.0,6.7007982516411895,6.537705894929415,6.537705894929415,6.374613538217641,0.32618471342354827,0.16309235671177458
"[11, 11, 12, 12]","[11,11,12,12]",0.9825,0.0,True,True,duples,40,3,2.714,6.684175218306734,6.621666264908677,6.621666264908677,6.559157311510618,0.12501790679611613,0.06250895339805762
"[10, 10, 12, 12]","[10,10,12,12]",0.9237,0.0,True,True,duples,40,3,2.714,6.614862243795455,6.552039731174096,6.552039731174096,6.489217218552737,0.1256450252427186,0.0628225126213593
"[7, 7, 12, 12]","[7,7,12,12]",0.875,0.0008,True,True,duples,34,3,2.143,6.416872851626701,6.3521771380344685,6.3521771380344685,6.287481424442236,0.1293914271844656,0.0646957135922328
"[6, 6, 11, 11]","[6,6,11,11]",0.095,0.0044,True,True,duples,32,3,2.857,6.386042239987583,6.3204421914438935,6.3204421914438935,6.254842142900205,0.1312000970873788,0.06560004854368984
"[6, 6, 10, 10]","[6,6,10,10]",0.0234,0.0032,True,True,duples,32,3,2.857,6.255840840137108,6.18956953528274,6.18956953528274,6.12329823042837,0.13254260970873855,0.06627130485436883
"[1, 11, 11, 11]","[1,11,11,11]",0.1029,0.1582,True,True,medias,31,2,3.0,5.814146182050614,5.6497390972959565,5.6497390972959565,5.485332012541299,0.3288141695093145,0.16440708475465726
"[10, 10, 11, 11]","[10,10,11,11]",0.1007,0.0,True,True,duples,40,3,2.714,5.7678571294525,5.705329731394247,5.705329731394247,5.642802333335995,0.12505479611650472,0.06252739805825236
"[11, 11, 11, 11]","[11,11,11,11]",0.1011,0.0,True,True,duples,40,3,2.714,5.759748728552552,5.695930204280707,5.695930204280707,5.632111680008863,0.12763704854368907,0.06381852427184498
"[7, 7, 7, 12]","[7,7,7,12]",0.2981,0.0002,True,True,medias,31,2,3.0,5.757570320329835,5.584722009050456,5.584722009050456,5.411873697771076,0.34569662255875855,0.17284831127937927
"[1, 10, 10, 10]","[1,10,10,10]",0.0242,0.1633,True,True,medias,31,2,3.0,5.697817711730493,5.5354780033674835,5.5354780033674835,5.373138295004474,0.32467941672601874,0.16233970836300937
"[10, 10, 10, 10]","[10,10,10,10]",0.0263,0.0,True,True,duples,40,3,2.714,5.642524333676029,5.58058716474399,5.58058716474399,5.518649995811952,0.12387433786407698,0.06193716893203849
"[7, 7, 11, 11]","[7,7,11,11]",0.0993,0.0003,True,True,duples,34,3,2.143,5.6136156701142825,5.549606548755059,5.549606548755059,5.485597427395836,0.1280182427184462,0.06400912135922354
"[1, 11, 12, 12]","[1,11,12,12]",0.9461,0.1473,True,True,pares,31,1,3.0,5.600850672218822,5.4271048762147736,5.4271048762147736,5.253359080210725,0.3474915920080974,0.1737457960040487
"[1, 10, 12, 12]","[1,10,12,12]",0.8966,0.1541,True,True,pares,31,1,3.0,5.558021668322736,5.381372457391972,5.381372457391972,5.204723246461207,0.3532984218615285,0.1766492109307638
"[7, 7, 7, 11]","[7,7,7,11]",0.0648,0.0005,True,True,medias,31,2,3.0,5.529612797813048,5.354457398030464,5.354457398030464,5.17930199824788,0.3503107995651682,0.1751553997825841
